SEDAN 2 DOOR
ROADSTER
STATION WAGON
WIDE WHEEL WAGON
UTILITY
SEDAN 4 DOOR
LIFTBACK 3 DOOR
PICKUP
COUPE
AMBULANCE
LIMOUSINE
WAGON 4 DOOR
CAB AND CHASSIS
CREW CHASSIS
CREW PICKUP
STAKE OR RACK
CONVENTIONAL CAB
HATCHBACK 2 DOOR
HATCHBACK 4 DOOR
INCOMPLETE CHASSIS
VAN
MOTORIZED CUTAWAY
CARGO CUTAWAY
NOTCHBACK
FORWARD CONTROL
STEP VAN
MOTORIZED HOME
SPORT VAN
BUS
HARDTOP 2 DOOR
PILLARD HARDTOP 4 DR
CLUB CAB PICKUP
CLUB CHASSIS
CARGO VAN
CONVERTIBLE
CUTAWAY
SUPER CAB PICKUP
WAGON 2 DOOR
HARDTOP
LIFTBACK 5 DOOR
VAN CAMPER
HATCHBACK
PURPOSE
PARCEL DELIVERY
SPORT PICKUP
EXTENDED WINDOW VAN
DISPLAY VAN
EXT VAN
SUBURBAN  CARRY ALL
CUSTOM PICKUP
SUBURBAN / CARRY ALL
ONE SEAT
TWO SEAT
EXTENDED CARGO VAN
LIFTBACK
WINDOW VAN
RUNABOUT 3 DOOR
SEDAN 5 DOOR
INCOMPLETE EXT VAN
SEDAN
TILT CAB
HEARSE
8 PASS SPORT VAN
EXTENDED SPORT VAN
PILLARD HARDTOP 2 DR
3 DOOR EXT CAB PK
3 DR EXT CAB / CHASS
4 DOOR EXT CAB PK
TANDEM
4 DR EXT CAB  CHASS
3 DOOR COUPE
INCOMPLETE PASSENGER
2 PASS LOW SPEED VEH
4 PASS LOW SPEED VEH
COUPE 4 DOOR
4 DR EXT CAB / CHASS
PANEL
V (CANADA)-WAGON 4 DOOR
V-WAGON 4 DOOR
Z-HATCHBACK 2 DOOR
F-SEDAN 4 DOOR
A-COUPE
7-WAGON 4 DOOR
9-WAGON 4 DOOR
5 MIATA-CONVERTIBLE
CLASS-HATCHBACK 4 DOOR
R-COUPE
4X-WAGON 4 DOOR
IN-HATCHBACK 4 DOOR
5-WAGON 4 DOOR
S-COUPE
TYPE (CANADA)-CONVERTIBLE
TYPE-CONVERTIBLE
