KEY,MOSS,DISPLAY,IS_DISPLAY,REVI
_5000,5000,"0 - 5,000",1,2500
_7500,7500,"5,000 - 7,500",1,7500
_10000,10000,"7,500 - 10,000",1,7500
_12500,12500,"10,000 - 12,500",1,12500
_20000,20000,"12,500 - 20,000",1,15000
_25000,25000,"20,000 - 25,000",1,15000
_30000,30000,"25,000 - 30,000",1,15000
_40000,40000,"30,000 - 40,000",1,15000
_50000,50000,"40,000 - 50,000",1,15000
