KEY,MOSS,DISPLAY,IS_DISPLAY,REVI
_EXCELLENT,Excellent,Excellent,1,Excellent
_AVERAGE,Average,Average,1,Good
_POOR,Poor,Poor,1,Some Problems
_UNSURE,Unsure,Unsure,1,Good
