KEY,MOSS,DISPLAY,IS_DISPLAY,REVI
_SUPERIOR_PROTECTION,Superior Protection,Superior Protection,1,Superior Protection
_STANDARD_PROTECTION,Standard Protection,Standard Protection,1,Standard Protection
_BASIC_PROTECTION,Basic Protection,Basic Protection,1,Basic Protection
_STATE_MINIMUM,State Minimum,State Minimum,1,State Minimum

