KEY,MOSS,DISPLAY,IS_DISPLAY,REVI
_No_Coverage,No Coverage,No Coverage,1,100
_100,100,$100,1,100
_200,200,$200,0,250
_250,250,$250,1,250
_500,500,$500,1,500
_1000,1000,"$1,000",1,1000
