KEY,MOSS,DISPLAY,IS_DISPLAY,REVI
_0,0,0,1,0
_1,1,1,1,1
_2,2,2,1,2
_3,3,3,1,3
_4,4,4,1,4
_5,5,5,1,5
_6,6,6,1,6
_7,7,7,1,7
_8,8,8,1,8
_9,9,9,1,9
_10,10,10,1,10
_11,11,11,1,11
