KEY,MOSS,DISPLAY,IS_DISPLAY,REVI
_PEOPLE,People,People,1,People
_PROPERTY,Property,Property,1,Property
_BOTH,Both,Both,1,Both
_NOT_APPLICABLE,Not Applicable,Not Applicable,1,NotApplicable
